name,zip,kpi,month_1,month_2,delivery_service,orders
McDonald's®,8010, Commissionable Orders,2508.0,2038.0,deliverando,4546.0
Pizzeria Ristorante Da Vinci Linz,8010, Commissionable Orders,1933.0,2180.0,deliverando,4113.0
Swing Kitchen,8010, Commissionable Orders,1982.0,1913.0,deliverando,3895.0
Restaurant Z10,8010, Commissionable Orders,1899.0,1859.0,deliverando,3758.0
Da Piero,8020, Commissionable Orders,1463.0,1634.0,deliverando,3097.0
Dolce Vita,8020, Commissionable Orders,1178.0,1353.0,deliverando,2531.0
KFC,8020, Commissionable Orders,1244.0,1057.0,deliverando,2301.0
McDonald's®,8020, Commissionable Orders,1226.0,1023.0,deliverando,2249.0
Mamacita - California Burritos,8010, Commissionable Orders,1010.0,1067.0,deliverando,2077.0
McDonald's®,8010, Commissionable Orders,1044.0,977.0,deliverando,2021.0
